Title,Link,Channel Name,Channel Link,Subscriber Count,Category,Views,Likes,DislikesDrDisrespect shows why he is the SNIPER GOD in ANY GAME,https://www.youtube.com/watch?v=gF7TSlGv6no&fbclid=IwAR3u-MSia_FTkm1D9hZuQ4w1gxOApAHC08gRv7XFtsfNZ0Z-q-3KiVTmuhk,DrDisRespect,www.youtube.com/channel/UCcJL2ld6kxy_nuV1u7PVQ0g,1.4M,None,"15,824","1,963",27
The END of DrDisrespect's CAREER,https://www.youtube.com/watch?v=Lig540xKio0,DrDisRespect,www.youtube.com/channel/UCcJL2ld6kxy_nuV1u7PVQ0g,1.4M,None,"647,545","18,397",634
"Denny Hamlin talks after Daytona 500, Ryan Newman crash | Motorsports on NBC",https://www.youtube.com/watch?v=GI9dteiE8f4,#4 on Trending,www.youtube.com/feed/trending,163K,None,"219,794","1,410",262
Oil change scams: Hidden camera investigation on what really happens to your car (CBC Marketplace),https://www.youtube.com/watch?v=-avpx8UTakI,CBC News,www.youtube.com/channel/UCuFFtHWoLl5fauMMD5Ww2jA,1.79M,None,"29,669,782","168,901","12,212"
Daytona 500 2020 | EXTENDED HIGHLIGHTS | Motorsports on NBC,https://www.youtube.com/watch?v=XkFe4HcCVnY,Motorsports on NBC,www.youtube.com/channel/UC1QQAUSQX4DF9XXne54oCgQ,163K,None,"59,041",750,66
We drove these electric cars until they DIED!,https://www.youtube.com/watch?v=ZH7V2tU3iFc,carwow,www.youtube.com/channel/UCUhFaUpnq31m6TNX2VKVSVA,3.48M,None,"4,596,741","82,826","2,923"
"Danger Dan’s Missing 2JZ Swapped Nissan 240sx Multiplies, AND Your Kei Truck questions are answered!",https://www.youtube.com/watch?v=PT_ijuUvKzo,Hoonigan Project Cars,www.youtube.com/channel/UCCQAt0ipBbsOOIFpIDu9z2Q,522K,None,"170,635","6,552",65
Ryan Newman sent to hospital after Daytona 500 crash,https://www.youtube.com/watch?v=oZGRfIE5l6Q,WSLS 10,www.youtube.com/channel/UCaFgN6V43Xo1pRjQ4PjlSqw,23.8K,None,"301,641",947,133
Tucker sounds off on new Jussie Smollett developments,https://www.youtube.com/watch?v=ue5i_9b7Bm4,Fox News,www.youtube.com/channel/UCXIJgqnII2ZOINSWNOGFThA,4.35M,None,"1,793,536","60,463","1,932"
Michael Jackson's maid reveals sordid Neverland secrets | 60 Minutes Australia,https://www.youtube.com/watch?v=1Yp91zKBGgY,60 Minutes Australia,www.youtube.com/channel/UC0L1suV8pVgO4pCAIBNGx5w,1.54M,None,"13,480,418","119,182","50,037"
Rental car ripoffs: Hidden camera investigation (Marketplace),https://www.youtube.com/watch?v=xctScalMkYs,CBC News,www.youtube.com/channel/UCuFFtHWoLl5fauMMD5Ww2jA,1.79M,None,"1,345,005","13,624","1,133"
Watch in 360 the inside of a nuclear reactor from the size of an atom with virtual reality,https://www.youtube.com/watch?v=6K5gy3RLcKc,EDF in the UK,www.youtube.com/channel/UCCx9bJe8W7bCtDjbEk8iT2A,10.9K,None,"13,619,868","19,182","1,320"
Ryan Newman NASCAR Crash,https://www.youtube.com/watch?v=p11IUYaf4XM,WesleyAPEX,www.youtube.com/channel/UCqHr8Y29dVnwiJaNRD4aXrA,176K,None,"463,055","1,679",128
"Jerry Seinfeld on Julia Louis-Dreyfus & ""Seinfeld"" | 2018 Mark Twain Prize",https://www.youtube.com/watch?v=4USDQ3pYfJk,The Kennedy Center,www.youtube.com/channel/UCeJesXuEK5ERsyh-0DvM4PQ,251K,None,"3,214,471","18,880","1,018"
Reporter granted rare access inside secretive North Korea | 60 Minutes Australia,https://www.youtube.com/watch?v=5iGClYMpcpE,60 Minutes Australia,www.youtube.com/channel/UC0L1suV8pVgO4pCAIBNGx5w,1.54M,None,"1,319,553","11,533","2,643"
"Trump and Phil Robertson Freak Out About ""Socialism"": A Closer Look",https://www.youtube.com/watch?v=X9LJV_eO34c,Late Night with Seth Meyers,www.youtube.com/channel/UCVTyTA7-g9nopHeHbeuvpRA,3.45M,None,"6,600,311","40,344","2,512"
Ryan Newman hospitalized after crash in Daytona 500.,https://www.youtube.com/watch?v=rmCX-yOznpQ,WKMG News 6 ClickOrlando,www.youtube.com/channel/UCjpzEgbbDUg4YC6vpSrzsyg,31.6K,None,"53,390",252,12
Former Deputy AG Under Bush Calls For Barr To Resign | Morning Joe | MSNBC,https://www.youtube.com/watch?v=3DxqDiuIPGM,MSNBC,www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2.37M,None,"104,815","3,322",158
The 'Big One' takes out the leaders at Daytona,https://www.youtube.com/watch?v=7H9D_sjS4l8,NASCAR,www.youtube.com/channel/UCuN9hYw2RpoAW8rZ3VK3isA,449K,None,"142,799","1,079",48
Trump Uses Taxpayer Money To Visit Daytona 500,https://www.youtube.com/watch?v=uM_Y_7vtu8I,TYT Sports,www.youtube.com/channel/UCPahzXZvF8f5bRJ5TNvZS8w,439K,None,"5,712",465,71
